"cox_cov","our_cov"
0.853448275862069,0.907596982758621
0.824353448275862,0.900862068965517
0.828125,0.888739224137931
0.856411637931034,0.901131465517241
0.848060344827586,0.907327586206897
0.846174568965517,0.910290948275862
0.832165948275862,0.891702586206897
0.849407327586207,0.912715517241379
0.840786637931034,0.899515086206897
0.838092672413793,0.901131465517241
0.835398706896552,0.907596982758621
0.855603448275862,0.904364224137931
0.852640086206897,0.904364224137931
0.848868534482759,0.908943965517241
0.81707974137931,0.880926724137931
0.814385775862069,0.891702586206897
0.855603448275862,0.907596982758621
0.849137931034483,0.8984375
0.845635775862069,0.900862068965517
0.837015086206897,0.900323275862069
